,year_id,draft_round,draft_pick,player,pos,draft_age,year_min,year_max,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,gs,qb_rec,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,def_int,sacks,college_id,college_link,team,order,player_link
0,2016,1,29,Robert Nkemdiche,DT,21,,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,crd,1,/players/N/NkemRo00.htm
1,2016,3,92,Brandon Williams,CB,23,,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M;,,crd,2,/players/W/WillBr07.htm
2,2016,4,128,Evan Boehm,C,,,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,crd,3,/players/B/BoehEv00.htm
3,2016,5,167,Marqui Christian,SS,21,,,0,0,0,,,,,,,,,,,,,,,,,,Midwestern St.,,crd,4,/players/C/ChriMa00.htm
4,2016,5,170,Cole Toner,OT,22,,,0,0,0,,,,,,,,,,,,,,,,,,Harvard,,crd,5,/players/T/ToneCo00.htm
5,2016,6,205,Harlan Miller,CB,,,,0,0,0,,,,,,,,,,,,,,,,,,SE Louisiana,,crd,6,/players/M/MillHa00.htm
6,2015,1,24,D.J. Humphries,T,21,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,crd,7,/players/H/HumpD.00.htm
7,2015,2,58,Markus Golden,DE,24,2015,2015,0,0,0,,15,6,,,,,,,,,,,,,,4.0,Missouri,College Stats,crd,8,/players/G/GoldMa00.htm
8,2015,3,86,David Johnson,RB,23,2015,2015,0,0,0,,16,5,,,,,,,125,581,8,36,457,4,,,Northern Iowa,,crd,9,/players/J/JohnDa08.htm
9,2015,4,116,Rodney Gunter,DT,23,2015,2015,0,0,1,,16,11,,,,,,,,,,,,,,1.0,Delaware St.,,crd,10,/players/G/GuntRo00.htm
10,2015,5,158,Shaquille Riddick,DE,22,,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats,crd,11,/players/R/RiddSh00.htm
11,2015,5,159,JJ Nelson,WR,23,2015,2015,0,0,0,,11,2,,,,,,,1,0,0,11,299,2,,,Ala-Birmingham,,crd,12,/players/N/NelsJJ00.htm
12,2015,7,256,Gerald Christian,TE,24,,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,crd,13,/players/C/ChriGe00.htm
13,2014,1,27,Deone Bucannon,DB,22,2014,2015,0,0,1,4,32,25,,,,,,,,,,,,,1,5.0,Washington St.,,crd,14,/players/B/BucaDe00.htm
14,2014,2,52,Troy Niklas,TE,21,2014,2015,0,0,0,0,23,5,,,,,,,,,,7,71,2,,,Notre Dame,College Stats,crd,15,/players/N/NiklTr00.htm
15,2014,3,84,Kareem Martin,DE,22,2014,2015,0,0,0,2,27,4,,,,,,,,,,,,,,2.5,North Carolina,College Stats,crd,16,/players/M/MartKa00.htm
16,2014,3,91,John Brown,WR,24,2014,2015,0,0,1,5,31,16,,,,,,,6,16,0,113,1699,12,,,Pittsburg St.,,crd,17,/players/B/BrowJo02.htm
17,2014,4,120,Logan Thomas,QB,23,2014,2014,0,0,0,0,2,0,,1,9,81,1,0,,,,,,,,,Virginia Tech,College Stats,crd,18,/players/T/ThomLo00.htm
18,2014,5,160,Ed Stinson,DE,24,2014,2015,0,0,0,2,25,4,,,,,,,,,,,,,,1.0,Alabama,College Stats,crd,19,/players/S/StinEd00.htm
19,2014,6,196,Walt Powell,WR,22,2014,2015,0,0,0,0,6,0,,,,,,,,,,,,,,,Murray St.,,crd,20,/players/P/PoweWa00.htm
20,2013,1,7,Jonathan Cooper,G,23,2014,2015,0,0,1,1,24,11,,,,,,,,,,,,,,,North Carolina,College Stats,crd,21,/players/C/CoopJo01.htm
21,2013,2,45,Kevin Minter,LB,22,2013,2015,0,0,1,5,45,21,,,,,,,,,,,,,,1.5,LSU,College Stats,crd,22,/players/M/MintKe00.htm
22,2013,3,69,Tyrann Mathieu,DB,21,2013,2015,1,1,2,6,40,31,,,,,,,,,,,,,8,2.0,LSU,,crd,23,/players/M/MathTy00.htm
23,2013,4,103,Alex Okafor,DE,22,2013,2015,0,0,2,7,27,25,,,,,,,,,,,,,1,10.0,Texas,College Stats,crd,24,/players/O/OkafAl00.htm
24,2013,4,116,Earl Watford,G,23,2014,2015,0,0,0,1,17,2,,,,,,,,,,,,,,,James Madison,,crd,25,/players/W/WatfEa00.htm
25,2013,5,140,Stepfan Taylor,RB,22,2013,2015,0,0,0,3,46,4,,,,,,,116,381,1,20,154,3,,,Stanford,College Stats,crd,26,/players/T/TaylSt00.htm
26,2013,6,174,Ryan Swope,WR,22,,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M;,College Stats,crd,27,/players/S/SwopRy00.htm
27,2013,6,187,Andre Ellington,RB,24,2013,2015,0,0,1,12,37,16,,,,,,,364,1601,9,100,914,3,,,Clemson,College Stats,crd,28,/players/E/ElliAn00.htm
28,2013,7,219,D.C. Jefferson,TE,24,2013,2013,0,0,0,0,4,0,,,,,,,,,,,,,,,Rutgers,College Stats,crd,29,/players/J/JeffD.00.htm
29,2012,1,13,Michael Floyd,WR,22,2012,2015,0,0,2,16,63,39,,,,,,,1,2,0,209,3293,19,,,Notre Dame,College Stats,crd,30,/players/F/FloyMi00.htm
30,2012,3,80,Jamell Fleming,DB,23,2012,2015,0,0,0,4,46,7,,,,,,,,,,,,,,,Oklahoma,College Stats,crd,31,/players/F/FlemJa00.htm
31,2012,4,112,Bobby Massie,T,23,2012,2015,0,0,3,12,54,46,,,,,,,,,,,,,,,Mississippi,College Stats,crd,32,/players/M/MassBo00.htm
32,2012,5,151,Senio Kelemete,G,22,2012,2015,0,0,0,1,27,5,,,,,,,,,,1,10,0,,,Washington,College Stats,crd,33,/players/K/KeleSe00.htm
33,2012,6,177,Justin Bethel,DB,22,2012,2015,0,3,0,6,64,4,,,,,,,,,,,,,2,,Presbyterian,,crd,34,/players/B/BethJu00.htm
34,2012,6,185,Ryan Lindley,QB,23,2012,2015,0,0,0,-3,10,6,1-5-0,140,274,1372,3,11,4,7,0,,,,,,San Diego St.,College Stats,crd,35,/players/L/LindRy00.htm
35,2012,7,221,Nate Potter,T,24,2012,2013,0,0,0,3,21,6,,,,,,,,,,,,,,,Boise St.,College Stats,crd,36,/players/P/PottNa00.htm
36,2011,1,5,Patrick Peterson,DB,21,2011,2015,3,5,5,53,80,80,,1,1,17,0,0,7,34,0,10,64,0,17,2.0,LSU,College Stats,crd,37,/players/P/PetePa00.htm
37,2011,2,38,Ryan Williams,RB,21,2012,2012,0,0,0,1,5,3,,,,,,,58,164,0,7,44,0,,,Virginia Tech,College Stats,crd,38,/players/W/WillRy00.htm
38,2011,3,69,Rob Housler,TE,23,2011,2015,0,0,2,9,65,28,,,,,,,1,1,0,109,1166,1,,,Florida Atlantic,College Stats,crd,39,/players/H/HousRo01.htm
39,2011,4,103,Sam Acho,DE,23,2011,2015,0,0,2,19,66,39,,,,,,,,,,,,,3,13.0,Texas,,crd,40,/players/A/AchoSa00.htm
40,2011,5,136,Anthony Sherman,RB,22,2011,2015,0,0,1,4,76,27,,,,,,,6,14,0,45,371,2,,,Connecticut,College Stats,crd,41,/players/S/SherAn00.htm
41,2011,6,171,Quan Sturdivant,LB,22,2012,2012,0,0,0,0,,,,,,,,,,,,,,,,,North Carolina,College Stats,crd,42,/players/S/SturQu00.htm
42,2011,6,184,David Carter,DT,23,2011,2013,0,0,0,5,35,4,,,,,,,,,,,,,,1.0,UCLA,College Stats,crd,43,/players/C/CartDa01.htm
43,2011,7,249,DeMarco Sampson,WR,25,2011,2011,0,0,0,0,12,0,,,,,,,,,,3,36,0,,,San Diego St.,College Stats,crd,44,/players/S/SampDe00.htm
44,2010,1,26,Dan Williams,DT,23,2010,2015,0,0,5,22,86,55,,,,,,,,,,,,,1,2.5,Tennessee,College Stats,crd,45,/players/W/WillDa99.htm
45,2010,2,47,Daryl Washington,LB,23,2010,2013,0,1,4,36,59,53,,,,,,,,,,,,,6,18.0,TCU,College Stats,crd,46,/players/W/WashDa99.htm
46,2010,3,88,Andre Roberts,WR,22,2010,2015,0,0,2,16,87,39,,,,,,,9,77,0,229,2711,13,,,Citadel,,crd,47,/players/R/RobeAn00.htm
